Clip,Total Frames,Overall MSE (rad^2)
clip_00001,379,51.59636198058921
clip_00002,433,45.04498697593636
clip_00003,377,54.83955363063661
clip_00004,523,54.22246989510939
clip_00005,347,59.39589508672269
clip_00006,412,60.52678800323635
clip_00007,486,47.71043459574381
clip_00008,402,46.14771835839571
clip_00009,388,48.23981781595761
clip_00010,349,40.615876151360894
clip_00011,390,62.345787928654595
clip_00012,404,62.8467321395874
clip_00013,464,65.29623085054858
clip_00014,437,45.7351249197255
clip_00015,382,58.24707116132007
clip_00016,423,60.358462435133916
clip_00017,376,64.50728888207294
clip_00018,415,54.10841470741364
clip_00019,424,62.33957601043413
clip_00020,482,44.04211598313201
clip_00021,303,57.70346197751489
clip_00022,327,53.43759606737609
clip_00023,479,37.32813285636504
clip_00024,373,32.360001223975786
clip_00025,361,46.16119458734824
clip_00026,327,41.87668660365114
clip_00027,423,26.43914831445572
clip_00028,294,43.1679579676414
clip_00029,335,43.82210574932952
clip_00030,434,37.39537094045894
clip_00031,381,39.462000554002174
clip_00032,418,33.320680645664346
clip_00033,346,51.890001958505266
clip_00034,362,49.547604829566914
clip_00035,356,50.94177093398705
clip_00036,362,46.53162943065496
clip_00037,384,39.309315383434296
clip_00038,334,53.669768893076274
clip_00039,353,44.59569636552935
clip_00040,346,48.630163573116235
