Clip,MAE_J1,MAE_J2,MAE_J3,MAE_J4,MAE_J5,MAE_J6,MaxErr_J1,MaxErr_J2,MaxErr_J3,MaxErr_J4,MaxErr_J5,MaxErr_J6,Avg_MAE_AllJoints
clip_00001,2.496,2.806,3.754,1.735,2.043,1.065,12.918,16.963,16.475,8.753,8.097,5.507,2.316
clip_00002,2.475,2.505,3.239,1.971,1.433,1.206,10.168,10.649,13.364,5.848,5.792,4.778,2.138
clip_00003,1.559,1.698,2.3,1.569,2.119,0.819,10.131,9.263,12.7,4.439,12.554,4.661,1.677
clip_00004,1.845,1.901,3.049,1.635,2.445,2.258,8.717,18.697,18.396,8.668,8.995,13.269,2.189
clip_00005,2.368,1.467,3.723,2.469,2.469,0.934,10.235,10.568,15.586,15.861,11.185,4.907,2.238
clip_00006,3.05,2.502,3.923,2.413,2.287,1.406,13.924,13.892,15.515,10.174,15.174,7.67,2.597
clip_00007,1.755,1.613,2.336,1.082,2.502,0.896,9.479,6.654,10.226,5.706,9.464,7.039,1.697
clip_00008,2.363,1.829,2.29,2.457,1.945,1.035,13.032,9.906,12.65,7.902,11.289,6.556,1.987
clip_00009,2.94,2.55,2.688,1.818,1.877,0.947,16.156,10.622,12.309,6.298,14.021,5.632,2.137
clip_00010,1.928,2.987,2.318,1.146,1.11,1.113,8.198,12.574,10.009,7.186,6.268,4.76,1.767
clip_00011,3.191,2.673,4.278,2.017,2.059,1.072,12.405,12.656,17.935,14.09,8.417,6.244,2.548
clip_00012,2.59,2.895,4.9,1.672,2.608,1.006,13.177,14.383,31.804,17.479,10.138,5.208,2.612
clip_00013,3.566,3.227,4.279,1.846,2.514,1.304,30.65,13.96,23.026,26.094,16.359,9.328,2.789
clip_00014,2.116,2.129,2.677,1.826,2.532,1.255,8.362,9.721,16.25,9.597,7.973,5.61,2.089
clip_00015,3.0,2.628,3.594,2.007,1.813,1.387,22.375,17.142,22.842,12.093,7.361,9.057,2.405
clip_00016,3.074,2.519,2.909,1.782,1.793,1.126,17.212,20.569,28.537,6.84,12.282,8.82,2.2
clip_00017,2.82,2.098,3.564,1.313,2.018,1.101,18.13,19.353,28.353,7.178,13.654,6.043,2.152
clip_00018,3.104,2.835,3.8,1.598,1.863,0.781,16.479,14.604,20.985,9.239,10.007,5.777,2.33
clip_00019,2.311,1.945,3.193,1.422,2.154,0.804,31.757,26.371,31.725,8.958,28.315,5.029,1.971
clip_00020,3.875,2.733,3.966,1.293,2.851,1.077,23.4,12.956,22.185,7.862,22.748,8.653,2.632
clip_00021,2.035,2.61,2.215,2.174,1.979,1.189,12.814,10.797,10.981,6.321,13.249,6.748,2.034
clip_00022,1.79,1.421,1.823,1.559,1.997,0.895,7.792,5.743,10.023,5.194,18.172,4.016,1.581
clip_00023,1.92,2.276,3.351,1.705,2.085,1.032,9.501,9.729,13.678,6.891,9.747,7.25,2.062
clip_00024,2.092,2.365,3.061,1.811,1.935,1.187,8.466,7.829,11.773,4.537,15.042,5.904,2.075
clip_00025,1.168,2.018,2.236,1.481,1.633,0.893,7.609,8.551,10.616,6.942,13.744,6.047,1.572
clip_00026,1.866,1.359,2.188,1.605,2.193,1.041,6.846,6.024,7.986,5.925,12.414,4.314,1.709
clip_00027,2.14,2.674,3.045,1.353,1.829,0.991,9.348,8.029,10.436,3.843,9.874,7.07,2.005
clip_00028,1.608,1.916,1.945,1.424,1.66,0.834,7.802,8.636,9.761,5.984,10.804,4.544,1.565
clip_00029,2.447,1.605,2.496,1.324,2.129,1.076,7.511,6.041,11.686,4.76,11.276,4.629,1.846
clip_00030,2.168,2.381,2.599,1.062,1.579,0.604,15.094,8.531,13.649,6.546,8.318,4.185,1.732
clip_00031,2.241,2.445,3.312,1.221,1.721,0.644,12.24,14.908,13.377,6.107,11.248,4.386,1.931
clip_00032,2.697,2.265,4.147,1.427,1.749,0.815,9.755,13.32,16.39,5.103,13.566,6.025,2.183
clip_00033,2.634,2.536,3.373,1.24,2.337,1.043,12.377,12.834,14.114,7.177,13.199,6.567,2.194
clip_00034,3.176,2.441,3.997,1.583,1.925,1.11,20.286,19.045,20.314,7.389,16.642,13.763,2.372
clip_00035,2.402,2.216,3.512,1.435,1.5,0.863,18.051,22.311,21.245,9.183,10.445,4.416,1.988
clip_00036,2.416,1.778,3.699,1.454,1.88,0.767,9.362,8.049,10.272,6.534,12.77,7.736,1.999
clip_00037,2.716,2.317,3.667,2.044,2.237,0.595,16.72,14.293,14.98,5.167,11.6,6.078,2.262
clip_00038,1.808,2.245,3.193,1.762,2.06,1.104,13.781,16.962,20.206,8.593,12.525,5.423,2.029
clip_00039,2.262,2.554,4.22,1.671,2.105,1.225,10.203,12.286,13.826,6.895,14.303,6.58,2.34
clip_00040,2.876,2.432,3.79,1.357,1.341,0.95,25.794,18.297,20.27,4.671,13.012,5.727,2.124
